	0	1
460	-2	2
461	-13	9
462	-15	13
463	-8	-14
464	-9	15
465	-14	12
466	-14	10
467	7	5
468	-11	-15
469	30	-36
470	-2	14
471	17	-33
472	-4	-32
473	29	-33
474	-9	3
475	22	4
476	0	-16
477	-5	17
478	17	5
479	-6	16
480	7	-5
481	-2	-8
482	-30	18
483	7	33
484	-27	5
485	2	8
486	10	18
487	-27	-17
488	-10	10
489	-13	-15
490	21	-11
491	4	-14
492	-14	10
493	-7	19
494	-13	-5
495	28	2
496	-23	9
497	10	28
498	30	-18
499	1	-25
500	23	-9
501	22	0
502	-6	-18
503	27	-11
504	6	6
505	21	-29
506	-1	23
507	-36	6
508	2	34
509	-21	-7
510	9	13
511	-16	-2
512	-24	2
513	3	-13
514	-5	-19
515	16	-12
516	26	-4
517	11	11
518	-9	-43
519	2	-14
520	19	5
521	0	-4
522	6	24
523	9	17
524	-21	5
525	2	-10
526	16	-10
527	-3	1
528	10	-4
529	-5	-9
530	15	5
531	14	-6
532	-12	-6
533	-5	-5
534	-9	-3
535	-4	0
536	-17	-7
537	2	-14
538	-12	2
539	9	-39
540	-1	5
541	-12	8
542	-14	16
543	9	9
544	6	12
545	7	27
546	-17	5
547	2	2
548	0	-22
549	-9	-17
550	3	-95
551	-20	12
552	-23	-21
553	-12	-40
554	-10	-16
555	-9	-1
556	9	23
557	-2	22
558	0	-14
559	-5	-5
560	-10	8
561	-23	5
562	-7	-1
563	2	-18
564	-4	22
565	-3	9
566	21	15
567	12	12
568	3	17
569	8	12
570	-6	12
571	17	5
572	-17	5
573	-2	10
574	-12	18
575	-11	13
576	14	0
577	-5	15
578	7	-19
579	-14	22
580	-22	16
581	-11	-3
582	1	-1
583	-6	-18
584	21	-5
585	0	28
586	2	4
587	31	-29
588	11	-27
589	0	-8
590	-2	16
591	5	-7
592	-10	-20
593	-15	-19
594	9	7
595	30	30
596	-6	16
597	3	7
598	-1	-7
599	-14	14
600	39	-7
601	-24	12
602	-18	8
603	5	-35
604	-3	-9
605	32	-20
606	22	-4
607	-1	-5
608	6	8
609	33	-11
610	-7	7
611	-30	-2
612	10	12
613	11	7
614	-21	13
615	26	-22
616	13	-9
617	-2	-2
618	16	-18
619	11	11
620	19	5
621	22	-18
622	-12	6
623	1	-3
624	-8	-6
625	5	5
626	5	-1
